"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"4AA1","1","4.8-6.4V","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:MagneticBuzzer_ProSignal_ABI-009-RC","~"
"C1,C2,C6,C10,C11,C12,C13,C14,C15,C16","10","0.1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C3","1","22uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C4","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C5","1","4.7nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C7","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8,C9","2","22pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"D1","1","LED_ABRG","","","","LED_THT:LED_D5.0mm-4_RGB_Wide_Pins","~"
"J1","1","AVR-ISP-6","","","","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~"
"J2","1","LCD","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~"
"J3","1","Servo","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J4","1","Keypad","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J5","1","RFID","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"L2","1","4.7uH","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1","1","22k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5,R6","3","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","ATmega2560-16A","","","","Package_QFP:TQFP-100_14x14mm_P0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2549-8-bit-AVR-Microcontroller-ATmega640-1280-1281-2560-2561_datasheet.pdf"
"U2,U5,U8,U9","4","SN74LVC1G125","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/sn74lvc1g125.pdf"
"U3","1","MP2307DN-LF-Z","","","","Package_DFN_QFN:MLF-8-1EP_3x3mm_P0.65mm_EP1.55x2.3mm_ThermalVias","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP2307"
"U7","1","TCR2EF33","","","","Package_TO_SOT_SMD:SOT-553","https://toshiba.semicon-storage.com/info/docget.jsp?did=13794&prodName=TCR2EF45"
"Y1","1","16Mhz","","","","Crystal:Crystal_SMD_TXC_9HT11-2Pin_2.0x1.2mm_HandSoldering","~"
